frame,action,actionTime,frameMs,fps,windStrength,windTarget,headLinearSpeed,headAngularSpeed,maxDeviation,maxStaticPenetration,maxFrontStaticPenetration,maxFrontMeshPenetration,finite
91,0,0.252791,2.5519,391.865,0.000000,0.000000,0.000000,0.0000,0.221542,0.003266,0.003266,0.000000,True
92,0,0.255344,2.5145,397.693,0.000000,0.000000,0.000000,0.0000,0.221457,0.003328,0.003328,0.000000,True
93,0,0.257859,2.5266,395.789,0.000000,0.000000,0.000000,0.0000,0.221372,0.003376,0.003376,0.000000,True
94,0,0.260386,2.7100,369.004,0.000000,0.000000,0.000000,0.0000,0.221296,0.003414,0.003414,0.000000,True
95,0,0.263096,2.5218,396.542,0.000000,0.000000,0.000000,0.0000,0.221241,0.003453,0.003453,0.000000,True
96,0,0.265619,2.4939,400.978,0.000000,0.000000,0.000000,0.0000,0.221210,0.003453,0.003453,0.000000,True
97,0,0.268113,2.5554,391.328,0.000000,0.000000,0.000000,0.0000,0.221203,0.003444,0.003444,0.000000,True
98,0,0.270669,2.4911,401.429,0.000000,0.000000,0.000000,0.0000,0.221216,0.003423,0.003423,0.000000,True
99,0,0.273160,2.5368,394.197,0.000000,0.000000,0.000000,0.0000,0.221272,0.003353,0.003353,0.000000,True
100,0,0.275697,2.5105,398.327,0.000000,0.000000,0.000000,0.0000,0.221333,0.003249,0.003249,0.000000,True
101,0,0.278209,2.5563,391.190,0.000000,0.000000,0.000000,0.0000,0.221386,0.003220,0.003220,0.000000,True
102,0,0.280765,2.5195,396.904,0.000000,0.000000,0.000000,0.0000,0.221366,0.003269,0.003269,0.000000,True
103,0,0.283285,2.5083,398.676,0.000000,0.000000,0.000000,0.0000,0.221305,0.003344,0.003344,0.000000,True
104,0,0.285794,2.5068,398.915,0.000000,0.000000,0.000000,0.0000,0.221202,0.003422,0.003422,0.000000,True
105,0,0.288301,2.5513,391.957,0.000000,0.000000,0.000000,0.0000,0.221100,0.003492,0.003492,0.000000,True
106,0,0.290852,2.5049,399.218,0.000000,0.000000,0.000000,0.0000,0.220986,0.003552,0.003552,0.000000,True
107,0,0.293357,2.5702,389.075,0.000000,0.000000,0.000000,0.0000,0.220881,0.003586,0.003586,0.000000,True
108,0,0.295928,2.5248,396.071,0.000000,0.000000,0.000000,0.0000,0.220786,0.003607,0.003607,0.000000,True
109,0,0.298453,2.5257,395.930,0.000000,0.000000,0.000000,0.0000,0.220735,0.003600,0.003600,0.000000,True
110,0,0.300979,2.5523,391.804,0.000000,0.000000,0.000000,0.0000,0.220703,0.003572,0.003572,0.000000,True
111,0,0.303532,2.5119,398.105,0.000000,0.000000,0.000000,0.0000,0.220709,0.003524,0.003524,0.000000,True
112,0,0.306044,2.5468,392.650,0.000000,0.000000,0.000000,0.0000,0.220746,0.003452,0.003452,0.000000,True
113,0,0.308592,2.6827,372.759,0.000000,0.000000,0.000000,0.0000,0.220817,0.003361,0.003361,0.000000,True
114,0,0.311275,2.5812,387.417,0.000000,0.000000,0.000000,0.0000,0.220896,0.003276,0.003276,0.000000,True
115,0,0.313856,2.5153,397.567,0.000000,0.000000,0.000000,0.0000,0.220922,0.003277,0.003277,0.000000,True
116,0,0.316372,2.5946,385.416,0.000000,0.000000,0.000000,0.0000,0.220919,0.003314,0.003314,0.000000,True
117,0,0.318967,2.5263,395.836,0.000000,0.000000,0.000000,0.0000,0.220870,0.003367,0.003367,0.000000,True
118,0,0.321493,2.5446,392.989,0.000000,0.000000,0.000000,0.0000,0.220802,0.003410,0.003410,0.000000,True
119,0,0.324039,2.6279,380.532,0.000000,0.000000,0.000000,0.0000,0.220710,0.003446,0.003446,0.000000,True
120,0,0.326667,2.5036,399.425,0.000000,0.000000,0.000000,0.0000,0.220612,0.003476,0.003476,0.000000,True
121,0,0.329171,2.5643,389.970,0.000000,0.000000,0.000000,0.0000,0.220544,0.003479,0.003479,0.000000,True
122,0,0.331736,2.5249,396.055,0.000000,0.000000,0.000000,0.0000,0.220480,0.003476,0.003476,0.000000,True
123,0,0.334261,2.5075,398.804,0.000000,0.000000,0.000000,0.0000,0.220451,0.003455,0.003455,0.000000,True
124,0,0.336769,2.4877,401.978,0.000000,0.000000,0.000000,0.0000,0.220462,0.003421,0.003421,0.000000,True
125,0,0.339257,2.5302,395.226,0.000000,0.000000,0.000000,0.0000,0.220507,0.003375,0.003375,0.000000,True
